Code,USDValue
USD,1
AED,3.6725
AFN,71.3807
ALL,96.0567
AMD,405.4654
ANG,1.79
AOA,842.2368
ARS,814.35
AWG,1.79
AZN,1.7009
BAM,1.7887
BBD,2
BDT,109.589
BGN,1.7886
BHD,0.376
BIF,2839.6069
BMD,1
BND,1.3305
BOB,6.8105
BRL,4.8803
BSD,1
BTN,83.1295
BWP,13.5719
BYN,3.218
BZD,2
CAD,1.3384
CDF,2708.9785
CHF,0.8518
CLP,900.6844
CNY,7.1736
COP,3965.8955
CRC,517.0072
CUP,24
CVE,100.845
CZK,22.4799
DJF,177.721
DKK,6.8228
DOP,56.8712
DZD,133.404
EGP,30.8549
ERN,15
ETB,56.5641
EUR,0.9145
FJD,2.2079
FKP,0.7865
FOK,6.8203
GBP,0.7865
GEL,2.6852
GGP,0.7865
GHS,11.9515
GIP,0.7865
GMD,65.0454
GNF,8572.1268
GTQ,7.7034
GYD,209.2735
HKD,7.8156
HNL,24.2844
HRK,6.8908
HTG,132.3534
HUF,346.4493
IDR,15546.1778
ILS,3.73
IMP,0.7865
INR,83.1386
IQD,1312.8214
IRR,41907.2615
ISK,137.6114
JEP,0.7865
JMD,154.7246
JOD,0.709
JPY,144.2667
KES,157.9066
KGS,89.1365
KHR,4095.9362
KID,1.495
KMF,449.9388
KRW,1319.6783
KWD,0.3071
KYD,0.8333
KZT,453.9339
LAK,20251.2366
LBP,15000
LKR,322.3185
LRD,187.8826
LSL,18.6571
LYD,4.7997
MAD,9.9372
MDL,17.6495
MGA,4594.2177
MKD,56.3168
MMK,2068.3416
MNT,3391.3049
MOP,8.0499
MRU,39.3586
MUR,44.2948
MVR,15.4354
MWK,1694.8017
MXN,16.9497
MYR,4.6434
MZN,63.8837
NAD,18.6571
NGN,886.6707
NIO,36.0102
NOK,10.3616
NPR,133.0073
NZD,1.6029
OMR,0.3845
PAB,1
PEN,3.7053
PGK,3.6614
PHP,56.0772
PKR,280.6775
PLN,3.97
PYG,7247.6012
QAR,3.64
RON,4.5453
RSD,107.1772
RUB,89.8315
RWF,1299.3258
SAR,3.75
SBD,8.4616
SCR,13.7185
SDG,449.613
SEK,10.2532
SGD,1.3306
SHP,0.7865
SLE,22.9395
SLL,22939.4972
SOS,572.0778
SRD,36.7772
SSP,1095.3612
STN,22.407
SYP,12684.8343
SZL,18.6571
THB,34.9348
TJS,10.9507
TMT,3.5
TND,3.0957
TOP,2.3236
TRY,29.954
TTD,6.6897
TVD,1.495
TWD,31.0082
TZS,2517.6638
UAH,38.2576
UGX,3797.1922
UYU,38.9744
UZS,12338.9972
VES,35.9171
VND,24292.5741
VUV,118.01
WST,2.7082
XAF,599.9184
XCD,2.7
XDR,0.7486
XOF,599.9184
XPF,109.1374
YER,246.1796
ZAR,18.6618
ZMW,25.9767
ZWL,6888.3396
